Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,398.1579382419586,40000016,8836895,4.5265,5140781,49157,0.5817,0.0056,0.9562%,1.2289,1472798,29.9611,36.8199,20000016,4394228,4.5514,2582400,25221,0.5877,0.0057,0.9766%,1.2610,780321,30.9393,39.0160
infra,infra_1_trace,175.13615703582764,Pass,402.7522699832916,37799521,8189588,4.6156,4337669,13393,0.5297,0.0016,0.3088%,0.3543,593055,44.2810,15.6895,19799521,3730156,5.3080,2263258,3873,0.6067,0.0010,0.1711%,0.1956,128333,33.1353,6.4816
infra,infra_11_trace,209.36411476135254,Pass,485.68318009376526,50000052,18294343,2.7331,7754708,51496,0.4239,0.0028,0.6641%,1.0299,3864648,75.0475,77.2929,25000052,9213172,2.7135,3881908,24897,0.4213,0.0027,0.6414%,0.9959,2219360,89.1417,88.7742
infra,infra_10_trace,117.67702960968018,Pass,461.21265292167664,50000052,18385883,2.7195,6548159,265141,0.3562,0.0144,4.0491%,5.3028,13118562,49.4777,262.3710,25000052,6344026,3.9407,3150015,118386,0.4965,0.0187,3.7583%,4.7354,4092252,34.5670,163.6897
infra,infra_15_trace,101.22027969360352,Pass,435.4424948692322,50000052,34519113,1.4485,6957507,421138,0.2016,0.0122,6.0530%,8.4228,29992216,71.2171,599.8437,25000052,6376086,3.9209,3466846,144855,0.5437,0.0227,4.1783%,5.7942,4098087,28.2910,163.9231
infra,infra_14_trace,118.4549331665039,Pass,461.66971802711487,50000052,17913102,2.7913,6536492,267859,0.3649,0.0150,4.0979%,5.3572,12828162,47.8915,256.5630,25000052,6300880,3.9677,3156210,117155,0.5009,0.0186,3.7119%,4.6862,4054875,34.6112,162.1947
infra,infra_4_trace,84.87091732025146,Pass,412.0668318271637,40000016,23860597,1.6764,5988066,94046,0.2510,0.0039,1.5706%,2.3511,12121549,128.8896,303.0386,20000016,11929204,1.6766,2971304,47303,0.2491,0.0040,1.5920%,2.3651,6072495,128.3744,303.6245
infra,infra_5_trace,58.871103286743164,Pass,394.21913290023804,40000016,34860942,1.1474,7268207,90894,0.2085,0.0026,1.2506%,2.2723,26859254,295.5008,671.4811,20000016,22253758,0.8987,3539219,63513,0.1590,0.0029,1.7945%,3.1756,18462999,290.6964,923.1492
infra,infra_9_trace,141.69822597503662,Pass,475.2812399864197,50000052,29157810,1.7148,7203244,227794,0.2470,0.0078,3.1624%,4.5559,19587731,85.9888,391.7542,25000052,17203578,1.4532,3405201,171770,0.1979,0.0100,5.0443%,6.8708,14590688,84.9432,583.6263
infra,infra_8_trace,54.09443473815918,Pass,398.5492730140686,40000016,25083190,1.5947,7460282,54032,0.2974,0.0022,0.7243%,1.3508,16646719,308.0900,416.1678,20000016,12496610,1.6004,3730712,26713,0.2985,0.0021,0.7160%,1.3356,8264498,309.3811,413.2246
infra,infra_12_trace,207.57365608215332,Pass,486.6734211444855,50000052,17486955,2.8593,7862103,50484,0.4496,0.0029,0.6421%,1.0097,3390675,67.1634,67.8134,25000052,8332927,3.0002,3927069,23915,0.4713,0.0029,0.6090%,0.9566,1672847,69.9497,66.9137
infra,infra_13_trace,139.63556957244873,Pass,479.2487528324127,50000052,20447461,2.4453,6532412,207005,0.3195,0.0101,3.1689%,4.1401,13659373,65.9857,273.1872,25000052,9643656,2.5924,3378036,83777,0.3503,0.0087,2.4801%,3.3511,5147902,61.4477,205.9157
infra,infra_3_trace,83.57435989379883,Pass,397.84211802482605,40000016,8049448,4.9693,5433078,40296,0.6750,0.0050,0.7417%,1.0074,1065834,26.4501,26.6458,20000016,3991413,5.0108,2737308,18514,0.6858,0.0046,0.6764%,0.9257,502337,27.1328,25.1168
infra,infra_2_trace,221.61112022399902,Pass,732.2286760807037,47546686,10619900,4.4771,5818731,22663,0.5479,0.0021,0.3895%,0.4766,708787,31.2751,14.9072,24546686,4312358,5.6922,2997214,7515,0.6950,0.0017,0.2507%,0.3062,138653,18.4502,5.6485
web,web_21_trace,37.0328950881958,Pass,171.52804827690125,15000054,5919568,2.5340,2614946,23199,0.4417,0.0039,0.8872%,1.5466,2068955,89.1829,137.9298,8000054,4732165,1.6906,1411368,18564,0.2982,0.0039,1.3153%,2.3205,1883760,101.4738,235.4684
web,web_20_trace,91.22524166107178,Pass,188.8639030456543,20000004,10306299,1.9406,3186911,67747,0.3092,0.0066,2.1258%,3.3873,2071222,30.5729,103.5611,10000004,3759615,2.6598,1586755,19151,0.4221,0.0051,1.2069%,1.9151,594473,31.0414,59.4473
