Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_10_trace,204.85591316223145,Pass,520.5103087425232,60000052,9630209,6.2304,7032592,29798,0.7303,0.0031,0.4237%,0.4966,832235,27.9292,13.8706,30000052,4449342,6.7426,3499163,13868,0.7864,0.0031,0.3963%,0.4623,327520,23.6170,10.9173
int,int_5_trace,138.47165870666504,Pass,313.00691390037537,30000052,6566252,4.5688,2565027,81175,0.3906,0.0124,3.1647%,2.7058,3007523,37.0499,100.2506,15000052,3269388,4.5880,1297750,39707,0.3969,0.0121,3.0597%,2.6471,1504357,37.8864,100.2901
int,int_4_trace,188.2430238723755,Pass,497.67168498039246,59999657,13278592,4.5185,7683892,215579,0.5787,0.0162,2.8056%,3.5930,4738078,21.9784,78.9684,30999657,6588709,4.7050,4061423,106160,0.6164,0.0161,2.6139%,3.4246,2294503,21.6136,74.0170
int,int_25_trace,169.04896354675293,Pass,346.69862604141235,40000052,7668606,5.2161,2766410,52928,0.3607,0.0069,1.9132%,1.3232,1986888,37.5394,49.6721,20000052,4227508,4.7309,1541724,46135,0.3647,0.0109,2.9924%,2.3067,1528895,33.1396,76.4446
int,int_24_trace,145.24023818969727,Pass,350.334331035614,40000051,14489441,2.7606,8385203,20508,0.5787,0.0014,0.2446%,0.5127,2172697,105.9439,54.3174,20000051,6878005,2.9078,4599578,8420,0.6687,0.0012,0.1831%,0.4210,898236,106.6789,44.9117
int,int_32_trace,317.2076416015625,Pass,781.0826759338379,110000052,84969082,1.2946,12636052,696448,0.1487,0.0082,5.5116%,6.3313,72757361,104.4692,661.4302,55000052,37342935,1.4728,6322521,342921,0.1693,0.0092,5.4238%,6.2349,31330787,91.3644,569.6501
int,int_33_trace,310.41816425323486,Pass,635.9197790622711,110000052,52934793,2.0780,16062450,798212,0.3034,0.0151,4.9694%,7.2565,41200291,51.6157,374.5479,55000052,25597183,2.1487,7710997,408266,0.3012,0.0159,5.2946%,7.4230,19866069,48.6596,361.2009
int,int_35_trace,119.88736820220947,Pass,285.62093591690063,40000048,11225068,3.5635,5671843,82060,0.5053,0.0073,1.4468%,2.0515,4927357,60.0458,123.1838,20000048,5396098,3.7064,2842811,37993,0.5268,0.0070,1.3365%,1.8996,2265574,59.6314,113.2784
int,int_34_trace,112.3776216506958,Pass,285.4317171573639,40000052,10962814,3.6487,6380286,110743,0.5820,0.0101,1.7357%,2.7686,5298921,47.8488,132.4729,20000052,4828182,4.1424,3101677,57364,0.6424,0.0119,1.8495%,2.8682,2421387,42.2109,121.0690
int,int_16_trace,128.2670030593872,Pass,328.96764183044434,40000031,17282983,2.3144,6733574,228007,0.3896,0.0132,3.3861%,5.7002,5462379,23.9571,136.5594,20000031,7225409,2.7680,3364149,116542,0.4656,0.0161,3.4642%,5.8271,2648919,22.7293,132.4457
int,int_17_trace,128.60758018493652,Pass,334.9785659313202,39999987,15422090,2.5937,6659971,190269,0.4318,0.0123,2.8569%,4.7567,4582855,24.0862,114.5714,20999987,6044880,3.4740,3432362,84991,0.5678,0.0141,2.4762%,4.0472,1954821,23.0003,93.0868
int,int_28_trace,185.9219560623169,Pass,302.52822613716125,40000052,8205452,4.8748,4006233,129153,0.4882,0.0157,3.2238%,3.2288,3402428,26.3442,85.0606,20000052,3967076,5.0415,1994428,59320,0.5027,0.0150,2.9743%,2.9660,1596695,26.9166,79.8345
int,int_29_trace,181.88746547698975,Pass,328.09434390068054,40000052,15229346,2.6265,4048870,456390,0.2659,0.0300,11.2720%,11.4097,11343056,24.8539,283.5760,20000052,7323366,2.7310,2031315,219323,0.2774,0.0299,10.7971%,10.9661,5410980,24.6713,270.5483
int,int_2_trace,94.08823490142822,Pass,244.80603528022766,30000052,17861066,1.6796,5366311,276963,0.3004,0.0155,5.1611%,9.2321,13828364,49.9286,460.9447,15000052,8301872,1.8068,2681980,135411,0.3231,0.0163,5.0489%,9.0274,6319035,46.6656,421.2675
int,int_3_trace,96.88034057617188,Pass,332.8800411224365,40000052,6990890,5.7217,4722773,31040,0.6756,0.0044,0.6572%,0.7760,922011,29.7040,23.0502,20000052,3529838,5.6660,2249610,17314,0.6373,0.0049,0.7696%,0.8657,445678,25.7409,22.2838
int,int_8_trace,137.59827327728271,Pass,339.4760072231293,40000052,15345525,2.6066,5678944,231657,0.3701,0.0151,4.0792%,5.7914,5620584,24.2625,140.5144,20000052,6020252,3.3221,2813189,101379,0.4673,0.0168,3.6037%,5.0689,2394252,23.6168,119.7123
