pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
ball-fun,bulleseye-predictor,fp_5_trace,0.9361,0.9329,0.0032000000000000917
ball-fun,bulleseye-predictor,int_5_trace,2.8583,2.838,0.020299999999999763
ball-fun,bulleseye-predictor,fp_6_trace,0.9836,0.9236,0.06000000000000005
ball-fun,bulleseye-predictor,int_25_trace,1.3214,1.3181,0.0032999999999998586
ball-fun,bulleseye-predictor,fp_10_trace,1.8923,1.9399,-0.047599999999999865
ball-fun,bulleseye-predictor,fp_7_trace,1.1295,1.0289,0.10060000000000002
ball-fun,bulleseye-predictor,fp_11_trace,0.6972,0.5791,0.1181000000000001
ball-fun,bulleseye-predictor,int_11_trace,4.2187,4.0919,0.12680000000000025
ball-fun,bulleseye-predictor,int_24_trace,0.5673,0.4986,0.06870000000000004
ball-fun,bulleseye-predictor,int_4_trace,4.1305,3.8634,0.26709999999999967
ball-fun,bulleseye-predictor,int_10_trace,0.5369,0.5155,0.021400000000000086
ball-fun,bulleseye-predictor,int_35_trace,2.4776,2.2559,0.2216999999999998
ball-fun,bulleseye-predictor,int_34_trace,3.0739,2.9654,0.10850000000000026
ball-fun,bulleseye-predictor,int_28_trace,3.6692,3.4213,0.2479
ball-fun,bulleseye-predictor,int_16_trace,8.1005,5.6722,2.4283
ball-fun,bulleseye-predictor,int_2_trace,8.727,9.8611,-1.1341
ball-fun,bulleseye-predictor,int_17_trace,6.3587,4.7592,1.5995
ball-fun,bulleseye-predictor,int_29_trace,12.3072,11.8209,0.48629999999999995
ball-fun,bulleseye-predictor,int_3_trace,0.8721,0.8217,0.0504
ball-fun,bulleseye-predictor,int_8_trace,7.163,5.8786,1.2844000000000007
ball-fun,bulleseye-predictor,int_32_trace,6.9621,6.7235,0.2386000000000008
ball-fun,bulleseye-predictor,int_9_trace,4.8603,3.7132,1.1470999999999996
ball-fun,bulleseye-predictor,int_33_trace,7.9657,7.7135,0.2522000000000002
ball-fun,bulleseye-predictor,int_23_trace,3.454,3.4248,0.029200000000000337
ball-fun,bulleseye-predictor,int_22_trace,5.3966,3.9788,1.4178000000000002
ball-fun,bulleseye-predictor,int_31_trace,0.833,0.6936,0.13939999999999997
ball-fun,bulleseye-predictor,int_30_trace,12.7675,12.2596,0.5078999999999994
ball-fun,bulleseye-predictor,int_26_trace,1.3413,1.2644,0.07689999999999997
ball-fun,bulleseye-predictor,int_18_trace,0.8395,0.7174,0.12209999999999999
ball-fun,bulleseye-predictor,int_19_trace,0.6642,0.7603,-0.09609999999999996
ball-fun,bulleseye-predictor,int_27_trace,0.8656,0.8212,0.044399999999999995
ball-fun,bulleseye-predictor,int_6_trace,2.9626,2.9258,0.036799999999999944
ball-fun,bulleseye-predictor,int_13_trace,0.9185,0.7048,0.2137
ball-fun,bulleseye-predictor,int_21_trace,15.7181,23.759,-8.0409
ball-fun,bulleseye-predictor,int_7_trace,5.7956,4.4556,1.3400000000000007
ball-fun,bulleseye-predictor,media_3_trace,1.4012,1.2893,0.11190000000000011
ball-fun,bulleseye-predictor,int_1_trace,9.2211,10.3681,-1.1470000000000002
ball-fun,bulleseye-predictor,int_0_trace,5.1331,5.0702,0.06289999999999996
ball-fun,bulleseye-predictor,int_14_trace,0.3952,0.3815,0.01369999999999999
ball-fun,bulleseye-predictor,media_0_trace,1.1819,1.0855,0.09640000000000004
ball-fun,bulleseye-predictor,media_2_trace,0.5226,0.5282,-0.005600000000000049
ball-fun,bulleseye-predictor,int_12_trace,0.4582,0.4313,0.02689999999999998
ball-fun,bulleseye-predictor,media_1_trace,1.1588,1.0785,0.08030000000000004
ball-fun,bulleseye-predictor,int_20_trace,2.76,2.3513,0.4086999999999996
ball-fun,bulleseye-predictor,int_36_trace,3.9779,2.9622,1.0156999999999998
ball-fun,bulleseye-predictor,int_15_trace,0.4797,0.4719,0.007800000000000029
ball-fun,load-value-correlator-man-results,compress_4_trace,1.825,1.7475,0.0774999999999999
ball-fun,load-value-correlator-man-results,compress_1_trace,1.6841,1.612,0.07209999999999983
ball-fun,load-value-correlator-man-results,compress_2_trace,1.4847,1.4219,0.06279999999999997
ball-fun,load-value-correlator-man-results,compress_6_trace,1.8941,1.8222,0.07189999999999985
ball-fun,load-value-correlator-man-results,compress_5_trace,1.9284,1.8485,0.07989999999999986
ball-fun,load-value-correlator-man-results,infra_7_trace,1.4967,1.2093,0.2873999999999999
ball-fun,load-value-correlator-man-results,infra_1_trace,0.3581,0.2923,0.06579999999999997
ball-fun,load-value-correlator-man-results,infra_0_trace,1.2782,0.9872,0.29100000000000004
ball-fun,load-value-correlator-man-results,infra_6_trace,1.2615,1.2138,0.047700000000000076
ball-fun,load-value-correlator-man-results,infra_4_trace,2.4586,1.8311,0.6275000000000002
ball-fun,load-value-correlator-man-results,infra_10_trace,5.369,5.2171,0.15189999999999948
ball-fun,load-value-correlator-man-results,infra_11_trace,1.0839,1.0022,0.0817000000000001
ball-fun,load-value-correlator-man-results,infra_15_trace,8.4791,8.3267,0.1524000000000001
ball-fun,load-value-correlator-man-results,infra_14_trace,5.4178,5.2684,0.14939999999999998
ball-fun,load-value-correlator-man-results,infra_5_trace,2.2115,2.0907,0.12080000000000002
ball-fun,load-value-correlator-man-results,infra_8_trace,1.2565,1.2484,0.008099999999999996
ball-fun,load-value-correlator-man-results,infra_9_trace,4.5987,4.5513,0.047399999999999665
ball-fun,load-value-correlator-man-results,web_21_trace,1.7327,1.5863,0.14639999999999986
ball-fun,load-value-correlator-man-results,compress_0_trace,3.2696,3.1984,0.07120000000000015
ball-fun,load-value-correlator-man-results,web_15_trace,6.0736,5.1507,0.9229000000000003
ball-fun,load-value-correlator-man-results,web_20_trace,4.2048,3.2987,0.9060999999999995
ball-fun,load-value-correlator-man-results,compress_3_trace,8.231,8.1504,0.08060000000000045
ball-fun,load-value-correlator-man-results,web_18_trace,2.8365,2.7595,0.07699999999999996
ball-fun,load-value-correlator-man-results,web_19_trace,6.0246,5.1496,0.875
ball-fun,load-value-correlator-man-results,web_12_trace,4.4179,3.9974,0.42050000000000054
ball-fun,load-value-correlator-man-results,infra_12_trace,1.0757,0.9932,0.08250000000000013
ball-fun,load-value-correlator-man-results,infra_3_trace,1.0538,0.8049,0.24890000000000012
ball-fun,load-value-correlator-man-results,infra_13_trace,4.2496,4.0586,0.19099999999999984
ball-fun,load-value-correlator-man-results,compress_7_trace,2.0491,1.9181,0.13100000000000023
ball-fun,load-value-correlator-man-results,web_17_trace,1.7308,1.4879,0.2428999999999999
ball-fun,load-value-correlator-man-results,web_0_trace,1.4009,1.3157,0.08519999999999994
ball-fun,load-value-correlator-man-results,web_1_trace,3.5288,3.1357,0.3931
ball-fun,load-value-correlator-man-results,web_16_trace,1.8571,1.6099,0.24719999999999986
ball-fun,load-value-correlator-man-results,web_7_trace,7.7208,6.1216,1.5991999999999997
ball-fun,load-value-correlator-man-results,web_22_trace,3.3822,3.2715,0.11070000000000002
ball-fun,load-value-correlator-man-results,web_11_trace,5.7855,4.7179,1.0675999999999997
ball-fun,load-value-correlator-man-results,web_23_trace,1.1653,1.0186,0.14670000000000005
ball-fun,load-value-correlator-man-results,web_13_trace,3.3888,2.9187,0.47009999999999996
ball-fun,load-value-correlator-man-results,web_14_trace,3.6703,3.4933,0.17700000000000005
ball-fun,load-value-correlator-man-results,web_6_trace,4.9189,4.6256,0.29329999999999945
ball-fun,load-value-correlator-man-results,web_3_trace,3.947,3.6024,0.34460000000000024
ball-fun,load-value-correlator-man-results,web_10_trace,3.3555,2.8788,0.4767000000000001
ball-fun,load-value-correlator-man-results,web_25_trace,6.3681,5.8123,0.5558000000000005
ball-fun,load-value-correlator-man-results,web_2_trace,4.1788,3.8193,0.3594999999999997
ball-fun,load-value-correlator-man-results,web_24_trace,2.049,1.7205,0.3285
ball-fun,load-value-correlator-man-results,infra_2_trace,0.4876,0.4288,0.05879999999999996
ball-fun,load-value-correlator-man-results,web_9_trace,2.9333,2.5072,0.4260999999999999
ball-fun,load-value-correlator-man-results,web_8_trace,5.1003,4.6254,0.4748999999999999
ball-fun,load-value-correlator-man-results,web_5_trace,4.6806,4.32,0.3605999999999998
ball-fun,load-value-correlator-man-results,web_4_trace,4.4589,4.0909,0.36799999999999944
ball-fun,load-value-correlator-man-results,fp_2_trace,2.5588,2.5381,0.020700000000000163
ball-fun,load-value-correlator-man-results,fp_0_trace,3.227,3.2399,-0.012900000000000134
ball-fun,load-value-correlator-man-results,fp_1_trace,15.5816,15.5856,-0.0039999999999995595
ball-fun,load-value-correlator-man-results,fp_3_trace,2.0208,2.0291,-0.008300000000000196
ball-fun,load-value-correlator-man-results,fp_4_trace,0.5742,0.5457,0.02850000000000008
ball-fun,load-value-correlator-man-results,fp_9_trace,4.5477,4.1005,0.4471999999999996
ball-fun,load-value-correlator-man-results,fp_13_trace,8.9772,11.952,-2.9748
ball-fun,load-value-correlator-man-results,fp_8_trace,5.2985,6.6877,-1.3892000000000007
ball-fun,load-value-correlator-man-results,fp_12_trace,1.214,0.8073,0.40669999999999995
ball-fun,load-value-correlator-man-results,fp_5_trace,0.9361,0.9302,0.005900000000000016
ball-fun,load-value-correlator-man-results,int_5_trace,2.8583,2.8042,0.05410000000000004
ball-fun,load-value-correlator-man-results,fp_6_trace,0.9836,0.979,0.0046000000000000485
ball-fun,load-value-correlator-man-results,int_25_trace,1.3214,1.3277,-0.006300000000000194
ball-fun,load-value-correlator-man-results,fp_10_trace,1.8923,1.9704,-0.07809999999999984
ball-fun,load-value-correlator-man-results,fp_7_trace,1.1295,1.037,0.09250000000000003
ball-fun,load-value-correlator-man-results,fp_11_trace,0.6972,0.6056,0.09160000000000001
ball-fun,load-value-correlator-man-results,int_11_trace,4.2187,3.9954,0.22330000000000005
ball-fun,load-value-correlator-man-results,int_24_trace,0.5673,0.4979,0.06940000000000002
ball-fun,load-value-correlator-man-results,int_4_trace,4.1305,3.8723,0.25819999999999954
ball-fun,load-value-correlator-man-results,int_10_trace,0.5369,0.525,0.011900000000000022
ball-fun,load-value-correlator-man-results,int_35_trace,2.4776,2.3653,0.11229999999999984
ball-fun,load-value-correlator-man-results,int_34_trace,3.0739,2.8241,0.24980000000000002
ball-fun,load-value-correlator-man-results,int_28_trace,3.6692,3.3205,0.3487
ball-fun,load-value-correlator-man-results,int_16_trace,8.1005,5.8167,2.2838000000000003
ball-fun,load-value-correlator-man-results,int_2_trace,8.727,10.0902,-1.363199999999999
ball-fun,load-value-correlator-man-results,int_17_trace,6.3587,4.8546,1.5041000000000002
ball-fun,load-value-correlator-man-results,int_29_trace,12.3072,11.376,0.9312000000000005
ball-fun,load-value-correlator-man-results,int_3_trace,0.8721,0.8552,0.016900000000000026
ball-fun,load-value-correlator-man-results,int_8_trace,7.163,5.8525,1.3105000000000002
ball-fun,load-value-correlator-man-results,int_32_trace,6.9621,6.6835,0.27859999999999996
ball-fun,load-value-correlator-man-results,int_9_trace,4.8603,3.7634,1.0968999999999998
ball-fun,load-value-correlator-man-results,int_33_trace,7.9657,7.6336,0.3320999999999996
ball-fun,load-value-correlator-man-results,int_23_trace,3.454,3.4064,0.04760000000000009
ball-fun,load-value-correlator-man-results,int_22_trace,5.3966,4.8609,0.5357000000000003
ball-fun,load-value-correlator-man-results,int_31_trace,0.833,0.8205,0.012499999999999956
ball-fun,load-value-correlator-man-results,int_30_trace,12.7675,11.7655,1.0020000000000007
ball-fun,load-value-correlator-man-results,int_26_trace,1.3413,1.2961,0.04519999999999991
ball-fun,load-value-correlator-man-results,int_18_trace,0.8395,0.7882,0.05130000000000001
ball-fun,load-value-correlator-man-results,int_19_trace,0.6642,0.7913,-0.1271
ball-fun,load-value-correlator-man-results,int_27_trace,0.8656,0.8447,0.02090000000000003
ball-fun,load-value-correlator-man-results,int_6_trace,2.9626,2.874,0.08860000000000001
ball-fun,load-value-correlator-man-results,int_13_trace,0.9185,0.8864,0.03210000000000002
ball-fun,load-value-correlator-man-results,int_21_trace,15.7181,23.5688,-7.8507
ball-fun,load-value-correlator-man-results,int_7_trace,5.7956,4.4331,1.3625000000000007
ball-fun,load-value-correlator-man-results,media_3_trace,1.4012,1.3927,0.008499999999999952
ball-fun,load-value-correlator-man-results,int_1_trace,9.2211,10.6773,-1.4562000000000008
ball-fun,load-value-correlator-man-results,int_0_trace,5.1331,4.6538,0.4792999999999994
ball-fun,load-value-correlator-man-results,int_14_trace,0.3952,0.3692,0.026000000000000023
ball-fun,load-value-correlator-man-results,media_0_trace,1.1819,1.1808,0.0010999999999998789
ball-fun,load-value-correlator-man-results,media_2_trace,0.5226,0.5296,-0.007000000000000006
ball-fun,load-value-correlator-man-results,int_12_trace,0.4582,0.3669,0.09129999999999999
ball-fun,load-value-correlator-man-results,media_1_trace,1.1588,1.1521,0.00670000000000015
ball-fun,load-value-correlator-man-results,int_20_trace,2.76,2.358,0.4019999999999997
ball-fun,load-value-correlator-man-results,int_36_trace,3.9779,2.9848,0.9931000000000001
ball-fun,load-value-correlator-man-results,int_15_trace,0.4797,0.4652,0.014500000000000013
ball-fun,multi-perspective-predictor,compress_4_trace,1.825,1.7784,0.046599999999999975
ball-fun,multi-perspective-predictor,compress_1_trace,1.6841,1.6407,0.04339999999999988
ball-fun,multi-perspective-predictor,compress_2_trace,1.4847,1.443,0.04169999999999985
ball-fun,multi-perspective-predictor,compress_6_trace,1.8941,1.8515,0.04259999999999997
ball-fun,multi-perspective-predictor,compress_5_trace,1.9284,1.8814,0.04699999999999993
ball-fun,multi-perspective-predictor,infra_7_trace,1.4967,1.445,0.05169999999999986
ball-fun,multi-perspective-predictor,infra_1_trace,0.3581,0.3503,0.007799999999999974
ball-fun,multi-perspective-predictor,infra_0_trace,1.2782,1.2135,0.06469999999999998
ball-fun,multi-perspective-predictor,infra_6_trace,1.2615,1.1873,0.07420000000000004
ball-fun,multi-perspective-predictor,infra_4_trace,2.4586,2.3702,0.08840000000000003
ball-fun,multi-perspective-predictor,infra_10_trace,5.369,5.1697,0.19930000000000003
ball-fun,multi-perspective-predictor,infra_11_trace,1.0839,0.9933,0.09060000000000012
ball-fun,multi-perspective-predictor,infra_15_trace,8.4791,8.2957,0.18340000000000067
ball-fun,multi-perspective-predictor,infra_14_trace,5.4178,5.2247,0.19309999999999938
ball-fun,multi-perspective-predictor,infra_5_trace,2.2115,2.2083,0.0032000000000000917
ball-fun,multi-perspective-predictor,infra_8_trace,1.2565,1.252,0.0044999999999999485
ball-fun,multi-perspective-predictor,infra_9_trace,4.5987,4.5178,0.08089999999999975
ball-fun,multi-perspective-predictor,web_21_trace,1.7327,1.4603,0.2724
ball-fun,multi-perspective-predictor,compress_0_trace,3.2696,3.1891,0.08050000000000024
ball-fun,multi-perspective-predictor,web_15_trace,6.0736,5.1798,0.8937999999999997
ball-fun,multi-perspective-predictor,web_20_trace,4.2048,3.3176,0.8871999999999995
ball-fun,multi-perspective-predictor,compress_3_trace,8.231,7.6342,0.5968
ball-fun,multi-perspective-predictor,web_18_trace,2.8365,2.7317,0.1048
