trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
int_5_trace,LVCP,2.8042,3.2797%,4.5475,6596996
int_4_trace,LVCP,3.8723,3.0236%,4.4313,13539864
int_25_trace,LVCP,1.3277,1.9198%,5.2073,7681526
int_24_trace,LVCP,0.4979,0.2375%,2.7521,14534122
int_32_trace,LVCP,6.6835,5.8182%,1.2817,85821975
int_33_trace,LVCP,7.6336,5.2277%,2.0533,53573502
int_35_trace,LVCP,2.3653,1.6681%,3.5331,11321480
int_34_trace,LVCP,2.8241,1.7705%,3.6279,11025725
int_16_trace,LVCP,5.8167,3.4553%,2.3013,17381202
int_17_trace,LVCP,4.8546,2.9157%,2.578,15515646
int_28_trace,LVCP,3.3205,3.3153%,4.8526,8243062
int_29_trace,LVCP,11.376,11.2387%,2.6312,15202422
int_2_trace,LVCP,10.0902,5.6409%,1.6345,18354467
int_3_trace,LVCP,0.8552,0.7243%,5.682,7039818
int_8_trace,LVCP,5.8525,4.1223%,2.6006,15380819
int_9_trace,LVCP,3.7634,2.5950%,2.9525,13547732
int_22_trace,LVCP,4.8609,2.9143%,1.8079,22125600
int_23_trace,LVCP,3.4064,2.5569%,2.1666,18462434
int_31_trace,LVCP,0.8205,0.6875%,8.5568,4674659
int_30_trace,LVCP,11.7655,11.1525%,2.5839,15480572
int_18_trace,LVCP,0.7882,0.3334%,3.7309,10721099
int_19_trace,LVCP,0.7913,0.5408%,5.0147,7976623
int_26_trace,LVCP,1.2961,2.4334%,5.8879,6793618
int_27_trace,LVCP,0.8447,1.7865%,6.2951,6354143
int_12_trace,LVCP,0.3669,0.3463%,3.2762,18313680
int_13_trace,LVCP,0.8864,0.8355%,6.447,6204477
int_6_trace,LVCP,2.874,2.7635%,3.9699,7556811
int_7_trace,LVCP,4.4331,2.9832%,2.9008,13789365
int_21_trace,LVCP,23.5688,10.4066%,0.8791,45501095
int_20_trace,LVCP,2.358,1.4797%,3.5808,16756184
int_15_trace,LVCP,0.4652,0.3543%,3.7865,18486674
int_14_trace,LVCP,0.3692,0.1934%,5.7409,6967456
int_1_trace,LVCP,10.6773,6.0425%,1.6433,18255500
int_0_trace,LVCP,4.6538,2.9913%,2.7681,14450192
int_36_trace,LVCP,2.9848,2.0692%,1.5588,34488691
media_3_trace,LVCP,1.3927,2.4641%,5.67,3527321
media_2_trace,LVCP,0.5296,1.5524%,6.4406,3105325
media_0_trace,LVCP,1.1808,2.0991%,5.8981,3390919
media_1_trace,LVCP,1.1521,2.1900%,5.5845,3581338
compress_3_trace,RVA-Toru,7.6547,6.3371%,2.2371,58111256
compress_2_trace,RVA-Toru,1.3543,1.2161%,4.9067,6590871
compress_4_trace,RVA-Toru,1.6297,1.4524%,4.7886,6507242
compress_5_trace,RVA-Toru,1.7338,1.5068%,4.8898,6914769
compress_0_trace,RVA-Toru,3.0968,3.1633%,4.7637,25190628
compress_1_trace,RVA-Toru,1.5125,1.4045%,4.7422,6490431
compress_7_trace,RVA-Toru,1.8067,1.5614%,5.4983,23643568
compress_6_trace,RVA-Toru,1.6906,1.4712%,4.8869,6921858
