pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
Baseline,RVA-Toru,int_9_trace,4.8555,3.6499,1.2056
Baseline,RVA-Toru,int_22_trace,5.3965,3.9029,1.4935999999999998
Baseline,RVA-Toru,int_23_trace,3.4824,3.1675,0.3149000000000002
Baseline,RVA-Toru,fp_0_trace,3.227,3.2189,0.008099999999999774
Baseline,RVA-Toru,fp_1_trace,15.5816,14.9323,0.6493000000000002
Baseline,RVA-Toru,int_31_trace,0.8411,0.6026,0.23849999999999993
Baseline,RVA-Toru,int_30_trace,12.9427,11.7569,1.1858000000000004
Baseline,RVA-Toru,web_16_trace,1.8538,1.5812,0.27259999999999995
Baseline,RVA-Toru,web_17_trace,1.7267,1.3943,0.3323999999999998
Baseline,RVA-Toru,int_18_trace,0.8474,0.63,0.21740000000000004
Baseline,RVA-Toru,int_19_trace,0.8482,0.7603,0.08789999999999998
Baseline,RVA-Toru,infra_15_trace,8.4547,8.1676,0.2871000000000006
Baseline,RVA-Toru,infra_14_trace,5.4033,5.0633,0.33999999999999986
Baseline,RVA-Toru,web_3_trace,3.979,3.5768,0.4022000000000001
Baseline,RVA-Toru,web_2_trace,4.166,3.7775,0.3885000000000005
Baseline,RVA-Toru,int_26_trace,1.3377,1.2045,0.13319999999999999
Baseline,RVA-Toru,int_27_trace,0.8728,0.782,0.09079999999999999
Baseline,RVA-Toru,int_12_trace,0.4566,0.4177,0.03889999999999999
Baseline,RVA-Toru,int_13_trace,0.9248,0.8514,0.07339999999999991
Baseline,RVA-Toru,infra_4_trace,2.479,2.0099,0.4691000000000001
Baseline,RVA-Toru,infra_5_trace,2.2119,1.9951,0.21679999999999988
Baseline,RVA-Toru,compress_0_trace,3.2681,3.0968,0.1713
Baseline,RVA-Toru,compress_1_trace,1.6834,1.5125,0.17090000000000005
Baseline,RVA-Toru,web_22_trace,3.3895,3.1805,0.20900000000000007
Baseline,RVA-Toru,web_23_trace,1.1539,0.9431,0.21079999999999988
Baseline,RVA-Toru,web_9_trace,2.9326,2.5137,0.41889999999999983
Baseline,RVA-Toru,web_8_trace,5.1087,4.6201,0.4885999999999999
Baseline,RVA-Toru,int_6_trace,2.9584,2.7427,0.2157
Baseline,RVA-Toru,int_7_trace,5.7589,4.3413,1.4175999999999993
Baseline,RVA-Toru,infra_9_trace,4.5907,4.4829,0.10780000000000012
Baseline,RVA-Toru,infra_8_trace,1.2568,1.2466,0.010199999999999987
Baseline,RVA-Toru,web_11_trace,5.7895,4.644,1.1455000000000002
Baseline,RVA-Toru,web_10_trace,3.366,2.8319,0.5341
Baseline,RVA-Toru,web_4_trace,4.4385,4.0301,0.4084000000000003
Baseline,RVA-Toru,web_5_trace,4.7119,4.3207,0.39119999999999955
Baseline,RVA-Toru,media_0_trace,1.1764,1.033,0.14339999999999997
Baseline,RVA-Toru,media_1_trace,1.159,1.0414,0.11759999999999993
Baseline,RVA-Toru,infra_12_trace,1.0706,0.9525,0.11809999999999998
Baseline,RVA-Toru,infra_13_trace,4.2404,3.8347,0.40569999999999995
Baseline,RVA-Toru,int_21_trace,24.1502,21.6842,2.466000000000001
Baseline,RVA-Toru,int_20_trace,2.7912,2.3305,0.4607000000000001
Baseline,RVA-Toru,int_15_trace,0.4788,0.4318,0.046999999999999986
