Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_24_trace,145.24023818969727,Pass,399.8886790275574,40000051,14547954,2.7495,8385203,19742,0.5764,0.0014,0.2354%,0.4935,2656993,134.5858,66.4247,20000051,6915622,2.8920,4599578,8692,0.6651,0.0013,0.1890%,0.4346,1176792,135.3879,58.8394
int,int_32_trace,317.2076416015625,Pass,887.3874800205231,110000052,83890577,1.3112,12636052,659460,0.1506,0.0079,5.2189%,5.9951,71430316,108.3164,649.3662,55000052,36760253,1.4962,6322521,323247,0.1720,0.0088,5.1126%,5.8772,30607399,94.6873,556.4976
int,int_33_trace,310.41816425323486,Pass,672.4939122200012,110000052,52501393,2.0952,16062450,788487,0.3059,0.0150,4.9089%,7.1681,40697308,51.6144,369.9754,55000052,25313269,2.1728,7710997,400521,0.3046,0.0158,5.1942%,7.2822,19536788,48.7784,355.2140
int,int_35_trace,119.88736820220947,Pass,324.28890109062195,40000048,11204470,3.5700,5671843,78995,0.5062,0.0071,1.3928%,1.9749,4923197,62.3229,123.0798,20000048,5404804,3.7004,2842811,37128,0.5260,0.0069,1.3060%,1.8564,2310949,62.2428,115.5472
int,int_34_trace,112.3776216506958,Pass,324.3463671207428,40000052,10982879,3.6420,6380286,111927,0.5809,0.0102,1.7543%,2.7982,5428326,48.4988,135.7080,20000052,4837586,4.1343,3101677,57709,0.6412,0.0119,1.8606%,2.8854,2430057,42.1088,121.5025
int,int_16_trace,128.2670030593872,Pass,377.8792040348053,40000031,18159549,2.2027,6733574,272562,0.3708,0.0150,4.0478%,6.8140,6391131,23.4484,159.7782,20000031,7849676,2.5479,3364149,148347,0.4286,0.0189,4.4096%,7.4173,3308588,22.3030,165.4291
int,int_17_trace,128.60758018493652,Pass,379.1596510410309,39999987,16035741,2.4944,6659971,218768,0.4153,0.0136,3.2848%,5.4692,5228008,23.8975,130.7002,20999987,6511570,3.2250,3432362,107367,0.5271,0.0165,3.1281%,5.1127,2444345,22.7663,116.3975
int,int_28_trace,185.9219560623169,Pass,338.4552676677704,40000052,8156665,4.9040,4006233,126477,0.4912,0.0155,3.1570%,3.1619,3338976,26.3999,83.4743,20000052,3959723,5.0509,1994428,58479,0.5037,0.0148,2.9321%,2.9239,1582280,27.0572,79.1138
int,int_29_trace,181.88746547698975,Pass,365.2156836986542,40000052,15487466,2.5827,4048870,470070,0.2614,0.0304,11.6099%,11.7517,11617499,24.7144,290.4371,20000052,7499169,2.6670,2031315,228750,0.2709,0.0305,11.2612%,11.4375,5596591,24.4660,279.8288
int,int_2_trace,94.08823490142822,Pass,281.1754219532013,30000052,17639186,1.7008,5366311,258583,0.3042,0.0147,4.8186%,8.6194,13609500,52.6311,453.6492,15000052,8204751,1.8282,2681980,126818,0.3269,0.0155,4.7285%,8.4545,6222868,49.0693,414.8564
