Run,workload_category,baseline_MPKI,MPP_MPKI,Bullseye_MPKI,BALL_MPKI,PIP_MPKI,MPP_improvement,Bullseye_improvement,BALL_improvement,PIP_improvement,MPP_improved,Bullseye_improved,BALL_improved,PIP_improved,category
int_13_trace,int,0.9248,0.7659,0.7048,0.9185,0.8664,0.15889999999999993,0.21999999999999997,0.006299999999999972,0.05840000000000001,True,True,False,False,MPP + Bullseye
int_3_trace,int,0.8818,0.8104,0.8217,0.8721,0.763,0.07140000000000002,0.06010000000000004,0.009700000000000042,0.11880000000000002,False,False,False,True,PIP Only
int_27_trace,int,0.8728,0.7625,0.8212,0.8656,0.8364,0.11030000000000006,0.05159999999999998,0.007199999999999984,0.03639999999999999,True,False,False,False,MPP Only
int_19_trace,int,0.8482,0.7875,0.7603,0.6642,0.8155,0.060699999999999976,0.08789999999999998,0.18399999999999994,0.03269999999999995,False,False,True,False,BALL Only
int_18_trace,int,0.8474,0.7793,0.7174,0.8395,0.8006,0.06810000000000005,0.13,0.007900000000000018,0.046800000000000064,False,True,False,False,Bullseye Only
int_31_trace,int,0.8411,0.5529,0.6936,0.833,0.7521,0.2882,0.14749999999999996,0.008099999999999996,0.08899999999999997,True,True,False,False,MPP + Bullseye
fp_11_trace,fp,0.6989,0.688,0.5791,0.6972,0.6464,0.01090000000000002,0.11980000000000002,0.0016999999999999238,0.05249999999999999,False,True,False,False,Bullseye Only
fp_4_trace,fp,0.5736,0.5696,0.5749,0.5742,0.5332,0.0040000000000000036,-0.0012999999999999678,-0.0006000000000000449,0.04039999999999999,False,False,False,False,None
int_24_trace,int,0.5662,0.4935,0.4986,0.5673,0.5457,0.07270000000000004,0.06760000000000005,-0.0010999999999999899,0.020500000000000074,False,False,False,False,None
int_10_trace,int,0.5363,0.5307,0.5155,0.5369,0.4983,0.005600000000000049,0.02080000000000004,-0.0006000000000000449,0.03799999999999998,False,False,False,False,None
media_2_trace,media,0.5317,0.5231,0.5282,0.5226,0.5319,0.008599999999999941,0.0034999999999999476,0.009099999999999997,-0.000200000000000089,False,False,False,False,None
infra_2_trace,infra,0.4838,0.4797,0.4135,0.4876,0.4766,0.0040999999999999925,0.07030000000000003,-0.00379999999999997,0.007199999999999984,False,False,False,False,None
int_15_trace,int,0.4788,0.4631,0.4719,0.4797,0.4732,0.015699999999999992,0.006900000000000017,-0.0009000000000000119,0.005599999999999994,False,False,False,False,None
int_12_trace,int,0.4566,0.4069,0.4313,0.4582,0.4406,0.04970000000000002,0.02529999999999999,-0.0015999999999999903,0.016000000000000014,False,False,False,False,None
int_14_trace,int,0.3966,0.3832,0.3815,0.3952,0.3731,0.013400000000000023,0.015100000000000002,0.0014000000000000123,0.02350000000000002,False,False,False,False,None
infra_1_trace,infra,0.3574,0.3503,0.3399,0.3581,0.3543,0.007099999999999995,0.017500000000000016,-0.0006999999999999784,0.0030999999999999917,False,False,False,False,None
