Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_5_trace,119.46124076843262,Pass,346.50806307792664,39999694,12184050,3.2830,6198022,170567,0.5087,0.0140,2.7520%,4.2642,4528293,26.5485,113.2082,20999694,6298093,3.3343,3330435,99818,0.5288,0.0158,2.9971%,4.7533,2584529,25.8924,123.0746
web,web_25_trace,46.08135795593262,Pass,132.29024124145508,14999989,7244250,2.0706,2548670,86926,0.3518,0.0120,3.4106%,5.7951,2997989,34.4890,199.8661,7999989,2958948,2.7037,1342253,51480,0.4536,0.0174,3.8353%,6.4350,1718176,33.3756,214.7723
web,web_24_trace,80.5669527053833,Pass,140.9192340373993,14999923,8327141,1.8013,1985890,25166,0.2385,0.0030,1.2672%,1.6777,803036,31.9096,53.5360,7999923,3984175,2.0079,1067447,11895,0.2679,0.0030,1.1143%,1.4869,363850,30.5885,45.4817
fp,fp_9_trace,143.53112411499023,Pass,462.63594603538513,40000016,16142489,2.4779,5012816,164460,0.3105,0.0102,3.2808%,4.1115,11304532,68.7373,282.6132,20000016,7688256,2.6014,2500178,87436,0.3252,0.0114,3.4972%,4.3718,5352788,61.2195,267.6392
fp,fp_8_trace,211.10272789001465,Pass,467.8757371902466,40000016,12910300,3.0983,2322129,298682,0.1799,0.0231,12.8624%,7.4670,6851638,22.9396,171.2909,20000016,7171825,2.7887,1347173,210758,0.1878,0.0294,15.6445%,10.5379,4771943,22.6418,238.5970
fp,fp_3_trace,223.02585411071777,Pass,351.28299498558044,30000052,12651352,2.3713,1539997,57180,0.1217,0.0045,3.7130%,1.9060,6428940,112.4334,214.2976,15000052,6312652,2.3762,770204,29124,0.1220,0.0046,3.7813%,1.9416,3249877,111.5876,216.6577
fp,fp_2_trace,113.98153591156006,Pass,308.44850611686707,30000052,6205339,4.8346,2471756,76520,0.3983,0.0123,3.0958%,2.5507,2686573,35.1094,89.5523,15000052,3061104,4.9002,1232306,38969,0.4026,0.0127,3.1623%,2.5979,1348553,34.6058,89.9032
fp,fp_4_trace,106.30326175689697,Pass,321.03881001472473,30000052,6531066,4.5934,2573337,17089,0.3940,0.0026,0.6641%,0.5696,990551,57.9642,33.0183,15000052,2607303,5.7531,1285217,6615,0.4929,0.0025,0.5147%,0.4410,283217,42.8144,18.8811
fp,fp_5_trace,332.9483413696289,Pass,534.728285074234,40000016,7571478,5.2830,740391,37475,0.0978,0.0049,5.0615%,0.9369,1287160,34.3472,32.1790,20000016,3750822,5.3322,370890,18625,0.0989,0.0050,5.0217%,0.9312,643092,34.5284,32.1546
fp,fp_13_trace,84.63656806945801,Pass,324.5470480918884,40000016,15107481,2.6477,6454282,498017,0.4272,0.0330,7.7161%,12.4504,10586096,21.2565,264.6523,20000016,7398877,2.7031,3233671,248407,0.4370,0.0336,7.6819%,12.4203,5194869,20.9127,259.7432
